playlist_title,status,content_type,kind,note
Highlights,active,highlights,type,Name is definitive
Interviews,active,press_interview,type,Name is definitive; interview 34% + presser 28%
Inside LAFC,active,podcast,series,Episodes vary by topic not format - the Finding 7 case
Community & Culture,active,community,theme,BLANK - subject theme not a format; 4 labels over 10%
LAFC+,active,podcast,series,Programming brand; 65% match_preview
Acción LAFC Con Armando Aguayo,active,podcast,series,Hosted Spanish-language program; 100% feature
LAFC Weekly,active,show,series,83% match_preview
Match Previews,active,match_preview,type,Name is definitive
The Son Spotlight,active,unclassified,theme,Named segment; 75% goal_clip
Black & Gold Insider,active,podcast,series,
Major News,active,unclassified,theme,BLANK - news topic is not a format; 5 labels over 10%
Behind The Crest,active,show,series,
The Vela Vault,active,unclassified,series,Archive series
Off the Pitch | Presented by Waymo,active,show,series,
Sounds Of The Game,active,show,series,
Annyeong LAFC,active,podcast,series,75% training
Full Matches,active,full_match,type,NEW vocabulary value - decide whether to add or map to recap
Explore BMO Stadium,active,feature,theme,
Features,dormant,feature,type,Name is definitive
BMO Stadium,dormant,unclassified,theme,"BLANK - grab-bag; 5 labels over 10%, top only 22%"
Adventures in the U.S. Open Cup,dormant,unclassified,theme,BLANK - competition theme; 4 labels over 10%
"Celebrities, Actors, Stars Experience LAFC Games",dormant,feature,theme,Produced guest features
In Touch With Steve Cherundolo,dormant,show,series,93% interview - consistent format but a named series
110 Football x LAFC | Season 2,dormant,show,series,
LAFC All-Access,dormant,show,series,
Best of LAFC,dormant,unclassified,theme,BLANK - compilation across formats
Moments at BMO,dormant,unclassified,series,
2019 Match Recaps,dormant,highlights,type,"Folded into highlights - same job, longer cut (3.0 vs 1.1 min median, similar views)"
Black & Gold Weekly,dormant,show,series,
LAFC: Black & Gold,dormant,show,series,
LAFC Player Profiles,dormant,feature,type,81% feature
The LAFC Academy,dormant,unclassified,theme,BLANK - academy subject spans formats
Shootin' The Shot,dormant,podcast,series,
Faces Of LAFC,dormant,feature,type,82% feature
LAFC 360,dormant,show,series,
LAFC in 30,dormant,show,series,
LAFC Essentials,dormant,unclassified,theme,BLANK - most dispersed playlist; 6 labels over 10%
Beita Time : Season 1,dormant,show,series,
LAFC Player Profiles - 2024,dormant,feature,type,88% feature
LAFC2 Team Report,dormant,show,series,Second team
LAFC: Black & Gold Season 2,dormant,show,series,
Anatomy of a Goal,dormant,highlights,type,Name is definitive
2019 Season Preview,dormant,match_preview,type,Season not match preview - check the fit
Taste Of LAFC,dormant,show,series,
Between Two Coaches,dormant,show,series,
LAFC Goal Rush Season 2,dormant,show,series,
Beita Time,dormant,show,series,Possible duplicate of Beita Time : Season 1
LAFC Goal Rush Season 1,dormant,show,series,
Staying Home,dormant,show,series,
The Call Up | USMNT 2019 Camp,dormant,feature,theme,
LAFC TAKING OFF presented by Delta,dormant,show,series,
TASTEMAKERS presented by Francis Ford Coppola Winery,dormant,show,series,
Talk Soccer W/ Dave Denholm,dormant,show,series,
Behind The Crest 2022,dormant,show,series,Possible duplicate of Behind The Crest
#OnexOne,dormant,show,series,
LAFC's MLS All-Stars,dormant,unclassified,theme,BLANK - n=1
